id	PositiveTail 1	PositiveTail 2	PositiveTail 3	PositiveTail 4	PositiveTail 5	PositiveTail 6	PositiveTail 7	PositiveTail 8	PositiveTail 9	PositiveTail 10	PositiveTail 11	PositiveTail 12	PositiveTail 13	PositiveTail 14	PositiveTail 15	PositiveTail 16	PositiveTail 17	PositiveTail 18	PositiveTail 19	PositiveTail 20
26812250-26812250_10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26812250-26812250_11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26812250-26812250_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26812250-26812250_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26812250-26812250_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26812250-26812250_5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26812250-26812250_6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26812250-26812250_7	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
26812250-26812250_8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26812250-26812250_9	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
26892859-26892859_1	3	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26892859-26892859_2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26892859-26892859_3	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27039141-27039141_1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
27039141-27039141_2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27039141-27039141_3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27039141-27039141_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27090501-27090501_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27095057-27095057_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27095057-27095057_2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27477020-27477020_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27477020-27477020_2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27494142-27494142_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27494142-27494142_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27494142-27494142_3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27494142-27494142_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27622781-27622781_1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27622781-27622781_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28504911-28504911_1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28504911-28504911_2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28504911-28504911_3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28905269-28905269_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28905269-28905269_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29079809-29079809_1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29079809-29079809_2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29079809-29079809_3	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
29324862-29324862_1	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29324862-29324862_2	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29324862-29324862_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29324862-29324862_4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29324862-29324862_5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29324862-29324862_6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29324862-29324862_7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29330483-29330483_1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29330483-29330483_10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29330483-29330483_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29330483-29330483_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29330483-29330483_4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29330483-29330483_5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29330483-29330483_6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29330483-29330483_7	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29330483-29330483_8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29330483-29330483_9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29432769-29432769_2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29777673-29777673_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29777673-29777673_3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30077577-30077577_2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30349467-30349467_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30349467-30349467_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30349467-30349467_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30349467-30349467_4	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30349467-30349467_5	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30349467-30349467_6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
30349467-30349467_7	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
31142792-31142792_1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31142792-31142792_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
