id	PositiveTail 1	PositiveTail 2	PositiveTail 3	PositiveTail 4	PositiveTail 5	PositiveTail 6	PositiveTail 7	PositiveTail 8	PositiveTail 9	PositiveTail 10	PositiveTail 11	PositiveTail 12
18633846-18633846_analysis_2	0	0	0	0	0	0	0	0	0	0	0	0
18633856-18633856_analysis_0	3	2	0	4	0	0	0	0	0	0	0	0
18633856-18633856_analysis_1	0	0	0	1	0	0	0	0	0	0	0	0
18783371-18783371_analysis_0	0	2	0	0	1	0	0	0	0	0	0	0
19048432-19048432_analysis_0	0	0	0	3	0	0	0	0	0	0	0	0
19048432-19048432_analysis_1	0	0	0	1	0	0	0	0	0	0	0	0
19048432-19048432_analysis_2	0	0	0	0	0	0	0	0	0	0	0	0
19048432-19048432_analysis_3	0	1	0	0	0	0	0	0	0	0	0	0
19048432-19048432_analysis_4	1	1	0	0	0	0	0	0	0	0	0	0
19048432-19048432_analysis_5	0	0	0	0	0	0	0	0	0	0	0	0
19048432-19048432_analysis_6	0	0	0	0	0	0	0	0	0	0	0	0
19107754-19107754_analysis_0	0	0	0	0	0	0	0	0	0	0	0	0
19107754-19107754_analysis_1	0	0	0	0	0	0	0	0	0	0	0	0
19107754-19107754_analysis_2	0	0	0	0	1	0	0	0	0	0	0	0
19107754-19107754_analysis_3	1	2	0	1	1	0	0	0	0	0	0	0
19107754-19107754_analysis_4	0	0	0	1	1	0	0	0	0	0	0	0
19107754-19107754_analysis_5	0	1	0	1	1	0	0	0	0	0	0	0
19347874-19347874_analysis_0	0	2	0	2	0	0	1	0	0	0	0	0
19347874-19347874_analysis_1	0	2	0	0	0	0	0	0	0	0	0	0
19347874-19347874_analysis_2	0	0	0	0	0	0	0	0	0	0	0	0
19347874-19347874_analysis_3	0	0	0	0	0	0	0	0	0	0	0	0
19347874-19347874_analysis_4	0	2	0	0	0	0	0	0	0	0	0	0
19439183-19439183_analysis_0	1	5	0	2	4	1	0	0	1	0	0	0
19439183-19439183_analysis_1	1	2	0	5	3	0	0	0	0	0	0	0
19439183-19439183_analysis_2	0	0	0	0	0	0	0	0	0	0	0	0
19439183-19439183_analysis_3	0	0	0	0	0	0	0	0	0	0	0	0
19439183-19439183_analysis_4	2	1	0	5	2	0	0	0	0	0	0	0
19439183-19439183_analysis_5	1	1	0	0	1	0	0	0	0	0	0	0
19439183-19439183_analysis_6	1	1	0	0	1	0	0	0	0	0	0	0
19439183-19439183_analysis_7	0	1	0	0	1	0	0	0	0	0	0	0
19439183-19439183_analysis_8	1	2	0	1	0	0	0	0	0	0	0	0
19733672-19733672_analysis_0	0	0	1	1	0	0	0	0	0	0	0	0
19733672-19733672_analysis_1	0	1	1	0	1	0	0	0	0	0	0	0
19733672-19733672_analysis_2	2	1	1	2	0	1	0	0	0	0	0	0
19733672-19733672_analysis_3	1	2	0	4	0	0	0	0	0	0	0	0
19733672-19733672_analysis_4	1	0	1	2	0	0	0	0	0	0	0	0
19733672-19733672_analysis_5	1	0	1	0	1	1	0	0	0	0	0	0
19944083-19944083_analysis_0	0	2	0	0	2	0	0	0	0	0	0	0
19944083-19944083_analysis_1	0	0	0	0	0	0	0	0	0	0	0	0
19944083-19944083_analysis_2	1	1	1	2	1	0	0	0	0	0	0	0
20045478-20045478_analysis_0	1	3	1	0	1	0	0	1	0	0	0	0
20045478-20045478_analysis_1	2	3	1	1	3	0	0	0	0	0	0	0
20045478-20045478_analysis_2	1	1	0	0	0	0	0	0	0	0	0	0
20045478-20045478_analysis_3	0	1	1	2	0	0	0	0	0	0	0	0
20056152-20056152_analysis_0	1	0	0	0	0	0	0	0	0	0	0	0
20056152-20056152_analysis_1	1	3	0	1	0	0	0	0	0	0	0	0
20096792-20096792_analysis_0	2	3	0	3	2	0	1	0	0	0	0	0
20096792-20096792_analysis_1	0	0	0	0	0	0	0	0	0	0	0	0
20096792-20096792_analysis_2	1	2	0	4	0	0	0	0	0	0	0	0
20096792-20096792_analysis_3	0	0	0	0	0	0	0	0	0	0	0	0
20119878-20119878_analysis_0	2	0	0	0	0	0	0	0	0	0	0	0
20119878-20119878_analysis_1	0	0	0	1	0	0	0	0	0	0	0	0
20119878-20119878_analysis_2	0	0	0	0	0	0	0	0	0	0	0	0
20119878-20119878_analysis_3	0	0	0	0	0	0	0	0	0	0	0	0
20188182-20188182_analysis_0	2	1	0	0	3	0	0	0	0	0	0	0
20188190-20188190_analysis_0	1	2	0	0	1	0	0	0	0	0	0	0
20188190-20188190_analysis_1	1	1	0	1	1	1	0	0	0	0	0	0
20188190-20188190_analysis_2	1	2	1	0	2	0	0	0	0	0	0	0
20188190-20188190_analysis_3	0	0	0	0	0	0	0	0	0	0	0	0
20188190-20188190_analysis_4	1	1	1	1	2	1	0	0	0	0	0	0
20188190-20188190_analysis_5	0	0	0	0	1	0	0	0	0	0	0	0
20188190-20188190_analysis_6	1	0	0	0	1	0	0	0	0	0	0	0
21206532-21206532_analysis_0	0	6	0	2	0	0	0	0	0	0	0	0
21249224-21249224_analysis_0	2	5	0	2	3	1	0	0	0	0	0	0
21320516-21320516_analysis_0	0	1	1	0	3	0	0	0	0	0	0	0
21320516-21320516_analysis_1	0	0	0	0	2	0	0	0	0	0	0	0
21600991-21600991_analysis_0	0	0	0	0	1	0	0	0	0	0	0	0
21600991-21600991_analysis_1	0	0	0	0	1	0	0	1	0	0	0	0
21703352-21703352_analysis_0	0	1	0	0	1	0	0	0	0	0	0	0
21703352-21703352_analysis_1	0	1	0	2	0	0	0	0	0	0	0	0
21703352-21703352_analysis_2	0	1	0	0	1	0	0	0	0	0	0	0
21955370-21955370_analysis_0	1	0	0	2	1	1	0	0	0	0	0	0
21955370-21955370_analysis_1	0	0	0	0	0	0	0	0	0	0	0	0
21955370-21955370_analysis_2	1	0	0	2	3	0	0	0	0	0	0	0
21955370-21955370_analysis_3	0	0	0	0	0	0	0	0	0	0	0	0
21955370-21955370_analysis_4	1	0	0	0	0	0	0	0	0	0	0	0
21955370-21955370_analysis_5	0	0	0	0	0	0	0	0	0	0	0	0
22019860-22019860_analysis_0	0	1	0	4	0	0	0	0	0	0	0	0
22019860-22019860_analysis_1	0	0	0	2	0	0	0	0	0	0	0	0
22174872-22174872_analysis_0	1	2	0	1	0	0	0	0	0	0	0	0
22174872-22174872_analysis_1	1	1	0	0	1	1	0	0	0	0	0	0
22174872-22174872_analysis_2	1	1	0	1	1	0	0	0	0	0	0	0
22726841-22726841_analysis_0	0	0	0	0	1	0	0	0	0	0	0	0
22726841-22726841_analysis_1	1	1	0	0	1	0	0	0	0	0	0	0
22726841-22726841_analysis_2	0	0	0	0	1	0	0	0	0	0	0	0
22726841-22726841_analysis_3	0	0	0	0	1	0	0	0	0	0	0	0
22726841-22726841_analysis_4	0	0	0	1	1	0	0	0	0	0	0	0
22841755-22841755_analysis_0	0	0	0	0	0	0	0	0	0	0	0	0
22841755-22841755_analysis_1	0	0	0	0	0	0	0	0	0	0	0	0
23063451-23063451_analysis_0	0	0	0	0	0	0	0	0	0	0	0	0
23063451-23063451_analysis_1	0	2	0	1	1	1	0	0	0	0	0	0
23063451-23063451_analysis_2	2	0	0	0	1	0	0	0	0	0	0	0
23063451-23063451_analysis_3	0	0	0	0	0	0	0	0	0	0	0	0
23063451-23063451_analysis_4	0	0	0	0	0	0	0	0	0	0	0	0
23063451-23063451_analysis_5	0	0	0	0	0	0	0	0	0	0	0	0
23063451-23063451_analysis_6	0	1	0	1	2	0	0	0	0	0	0	0
23221019-23221019_analysis_0	1	0	0	0	0	1	0	0	0	0	0	0
23221019-23221019_analysis_1	0	0	0	0	0	1	0	0	0	0	0	0
23221019-23221019_analysis_2	0	1	0	0	0	0	0	0	0	0	0	0
23221019-23221019_analysis_3	0	1	0	0	1	0	0	0	0	0	0	0
23221019-23221019_analysis_4	0	1	0	0	2	0	0	0	0	0	0	0
23298748-23298748_analysis_0	2	1	0	0	0	0	0	0	0	0	0	0
23298748-23298748_analysis_1	0	1	0	0	0	1	0	0	0	0	0	0
23298748-23298748_analysis_2	2	1	0	0	1	0	0	0	0	0	0	0
23378834-23378834_analysis_0	2	3	0	3	0	0	0	0	0	0	0	0
23378834-23378834_analysis_1	1	2	0	2	1	0	0	0	0	0	0	0
23378834-23378834_analysis_10	2	1	1	1	0	0	0	0	0	0	0	0
23378834-23378834_analysis_11	0	0	0	0	0	0	0	0	0	0	0	0
23378834-23378834_analysis_12	3	0	0	2	0	0	0	0	0	0	0	0
23378834-23378834_analysis_13	0	2	1	1	1	0	0	0	0	0	0	0
23378834-23378834_analysis_14	0	0	0	0	0	0	0	0	0	0	0	0
23378834-23378834_analysis_2	1	5	1	5	1	0	0	0	0	0	0	0
23378834-23378834_analysis_3	0	3	1	1	2	0	1	0	0	0	0	0
23378834-23378834_analysis_4	0	0	2	0	0	0	0	0	0	0	0	0
23378834-23378834_analysis_5	0	0	0	1	0	0	0	1	0	0	0	0
23378834-23378834_analysis_6	0	0	0	0	0	0	0	0	0	0	0	0
23378834-23378834_analysis_7	0	0	1	2	1	0	0	0	0	0	0	0
23378834-23378834_analysis_8	0	0	1	1	0	0	0	0	0	0	0	0
23378834-23378834_analysis_9	0	0	1	1	1	0	0	1	0	0	0	0
23599165-23599165_analysis_0	1	1	0	1	1	0	0	0	0	0	0	0
23599165-23599165_analysis_1	0	0	0	0	0	0	0	0	0	0	0	0
23599165-23599165_analysis_2	0	0	1	0	1	0	0	0	0	0	0	0
23599165-23599165_analysis_3	0	0	0	0	0	0	0	0	0	0	0	0
23599165-23599165_analysis_4	0	1	0	0	0	0	0	0	0	0	0	0
23599165-23599165_analysis_5	0	0	0	0	1	0	0	0	0	0	0	0
